ticker,name,sector,cik
DDOG,Datadog,Information Technology,1561550
DE,Deere & Company,Industrials,315189
DECK,Deckers Brands,Consumer Discretionary,910521
DELL,Dell Technologies,Information Technology,1571996
DG,Dollar General,Consumer Staples,29534
DGX,Quest Diagnostics,Health Care,1022079
DHI,D. R. Horton,Consumer Discretionary,882184
DHR,Danaher Corporation,Health Care,313616
DIS,Walt Disney Company (The),Communication Services,1744489
DLR,Digital Realty,Real Estate,1297996
DLTR,Dollar Tree,Consumer Staples,935703
DOC,Healthpeak Properties,Real Estate,765880
DOV,Dover Corporation,Industrials,29905
DOW,Dow Inc.,Materials,1751788
DPZ,Domino's,Consumer Discretionary,1286681
DRI,Darden Restaurants,Consumer Discretionary,940944
DTE,DTE Energy,Utilities,936340
DUK,Duke Energy,Utilities,1326160
DVA,DaVita,Health Care,927066
DVN,Devon Energy,Energy,1090012
DXCM,Dexcom,Health Care,1093557
EA,Electronic Arts,Communication Services,712515
EBAY,eBay Inc.,Consumer Discretionary,1065088
ECL,Ecolab,Materials,31462
ED,Consolidated Edison,Utilities,1047862
EFX,Equifax,Industrials,33185
EG,Everest Group,Financials,1095073
EIX,Edison International,Utilities,827052
EL,Estée Lauder Companies (The),Consumer Staples,1001250
ELV,Elevance Health,Health Care,1156039
EME,Emcor,Industrials,105634
EMR,Emerson Electric,Industrials,32604
EOG,EOG Resources,Energy,821189
EPAM,EPAM Systems,Information Technology,1352010
EQIX,Equinix,Real Estate,1101239
EQR,Equity Residential,Real Estate,906107
EQT,EQT Corporation,Energy,33213
ERIE,Erie Indemnity,Financials,922621
ES,Eversource Energy,Utilities,72741
ESS,Essex Property Trust,Real Estate,920522
ETN,Eaton Corporation,Industrials,1551182
ETR,Entergy,Utilities,65984
EVRG,Evergy,Utilities,1711269
EW,Edwards Lifesciences,Health Care,1099800
EXC,Exelon,Utilities,1109357
EXE,Expand Energy,Energy,895126
EXPD,Expeditors International,Industrials,746515
EXPE,Expedia Group,Consumer Discretionary,1324424
EXR,Extra Space Storage,Real Estate,1289490
F,Ford Motor Company,Consumer Discretionary,37996
FANG,Diamondback Energy,Energy,1539838
FAST,Fastenal,Industrials,815556
FCX,Freeport-McMoRan,Materials,831259
FDS,FactSet,Financials,1013237
FDX,FedEx,Industrials,1048911
FE,FirstEnergy,Utilities,1031296
FFIV,"F5, Inc.",Information Technology,1048695
FICO,Fair Isaac,Information Technology,814547
FIS,Fidelity National Information Services,Financials,1136893
FISV,Fiserv,Financials,798354
FITB,Fifth Third Bancorp,Financials,35527
FIX,Comfort Systems USA,Industrials,1035983
FOX,Fox Corporation (Class B),Communication Services,1754301
FOXA,Fox Corporation (Class A),Communication Services,1754301
FRT,Federal Realty Investment Trust,Real Estate,34903
FSLR,First Solar,Information Technology,1274494
FTNT,Fortinet,Information Technology,1262039
FTV,Fortive,Industrials,1659166
GD,General Dynamics,Industrials,40533
GDDY,GoDaddy,Information Technology,1609711
GE,GE Aerospace,Industrials,40545
GEHC,GE HealthCare,Health Care,1932393
GEN,Gen Digital,Information Technology,849399
GEV,GE Vernova,Industrials,1996810
GILD,Gilead Sciences,Health Care,882095
GIS,General Mills,Consumer Staples,40704
GL,Globe Life,Financials,320335
GLW,Corning Inc.,Information Technology,24741
GM,General Motors,Consumer Discretionary,1467858
GNRC,Generac,Industrials,1474735
GOOG,Alphabet Inc. (Class C),Communication Services,1652044
GOOGL,Alphabet Inc. (Class A),Communication Services,1652044
GPC,Genuine Parts Company,Consumer Discretionary,40987
GPN,Global Payments,Financials,1123360
GRMN,Garmin,Consumer Discretionary,1121788
GS,Goldman Sachs,Financials,886982
GWW,W. W. Grainger,Industrials,277135
HAL,Halliburton,Energy,45012
HAS,Hasbro,Consumer Discretionary,46080
HBAN,Huntington Bancshares,Financials,49196
HCA,HCA Healthcare,Health Care,860730
HD,Home Depot (The),Consumer Discretionary,354950
HIG,Hartford (The),Financials,874766
HII,Huntington Ingalls Industries,Industrials,1501585
HLT,Hilton Worldwide,Consumer Discretionary,1585689
HON,Honeywell,Industrials,773840
HOOD,Robinhood Markets,Financials,1783879
HPE,Hewlett Packard Enterprise,Information Technology,1645590
HPQ,HP Inc.,Information Technology,47217
HRL,Hormel Foods,Consumer Staples,48465
HSIC,Henry Schein,Health Care,1000228
HST,Host Hotels & Resorts,Real Estate,1070750
HSY,Hershey Company (The),Consumer Staples,47111
HUBB,Hubbell Incorporated,Industrials,48898
HUM,Humana,Health Care,49071
HWM,Howmet Aerospace,Industrials,4281
IBKR,Interactive Brokers,Financials,1381197
IBM,IBM,Information Technology,51143
ICE,Intercontinental Exchange,Financials,1571949
IDXX,Idexx Laboratories,Health Care,874716
IEX,IDEX Corporation,Industrials,832101
IFF,International Flavors & Fragrances,Materials,51253
INCY,Incyte,Health Care,879169
INTC,Intel,Information Technology,50863
INTU,Intuit,Information Technology,896878
INVH,Invitation Homes,Real Estate,1687229
IP,International Paper,Materials,51434
IQV,IQVIA,Health Care,1478242
IR,Ingersoll Rand,Industrials,1699150
IRM,Iron Mountain,Real Estate,1020569
ISRG,Intuitive Surgical,Health Care,1035267
IT,Gartner,Information Technology,749251
ITW,Illinois Tool Works,Industrials,49826
IVZ,Invesco,Financials,914208
J,Jacobs Solutions,Industrials,52988
JBHT,J.B. Hunt,Industrials,728535
JBL,Jabil,Information Technology,898293
JCI,Johnson Controls,Industrials,833444
JKHY,Jack Henry & Associates,Financials,779152
JNJ,Johnson & Johnson,Health Care,200406
JPM,JPMorgan Chase,Financials,19617
KDP,Keurig Dr Pepper,Consumer Staples,1418135
KEY,KeyCorp,Financials,91576
KEYS,Keysight Technologies,Information Technology,1601046
KHC,Kraft Heinz,Consumer Staples,1637459
KIM,Kimco Realty,Real Estate,879101
KKR,KKR & Co.,Financials,1404912
KLAC,KLA Corporation,Information Technology,319201
KMB,Kimberly-Clark,Consumer Staples,55785
KMI,Kinder Morgan,Energy,1506307
KO,Coca-Cola Company (The),Consumer Staples,21344
KR,Kroger,Consumer Staples,56873
KVUE,Kenvue,Consumer Staples,1944048
L,Loews Corporation,Financials,60086
LDOS,Leidos,Industrials,1336920
LEN,Lennar,Consumer Discretionary,920760
LH,Labcorp,Health Care,920148
LHX,L3Harris,Industrials,202058
LII,Lennox International,Industrials,1069202
LIN,Linde plc,Materials,1707925
LITE,Lumentum,Information Technology,1633978
LLY,Lilly (Eli),Health Care,59478
LMT,Lockheed Martin,Industrials,936468
LNT,Alliant Energy,Utilities,352541
LOW,Lowe's,Consumer Discretionary,60667
LRCX,Lam Research,Information Technology,707549
LULU,Lululemon Athletica,Consumer Discretionary,1397187
LUV,Southwest Airlines,Industrials,92380
LVS,Las Vegas Sands,Consumer Discretionary,1300514
LYB,LyondellBasell,Materials,1489393
LYV,Live Nation Entertainment,Communication Services,1335258
MA,Mastercard,Financials,1141391
MAA,Mid-America Apartment Communities,Real Estate,912595
MAR,Marriott International,Consumer Discretionary,1048286
MAS,Masco,Industrials,62996
MCD,McDonald's,Consumer Discretionary,63908
MCHP,Microchip Technology,Information Technology,827054
MCK,McKesson Corporation,Health Care,927653
MCO,Moody's Corporation,Financials,1059556
MDLZ,Mondelez International,Consumer Staples,1103982
MDT,Medtronic,Health Care,1613103
MET,MetLife,Financials,1099219
META,Meta Platforms,Communication Services,1326801
MGM,MGM Resorts,Consumer Discretionary,789570
MKC,McCormick & Company,Consumer Staples,63754
MLM,Martin Marietta Materials,Materials,916076
MMM,3M,Industrials,66740
MNST,Monster Beverage,Consumer Staples,865752
MO,Altria,Consumer Staples,764180
MOS,Mosaic Company (The),Materials,1285785
MPC,Marathon Petroleum,Energy,1510295
MPWR,Monolithic Power Systems,Information Technology,1280452
MRK,Merck & Co.,Health Care,310158
MRNA,Moderna,Health Care,1682852
MRSH,Marsh McLennan,Financials,62709
MS,Morgan Stanley,Financials,895421
MSCI,MSCI Inc.,Financials,1408198
MSFT,Microsoft,Information Technology,789019
MSI,Motorola Solutions,Information Technology,68505
MTB,M&T Bank,Financials,36270
MTD,Mettler Toledo,Health Care,1037646
MU,Micron Technology,Information Technology,723125
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,1513761
NDAQ,"Nasdaq, Inc.",Financials,1120193
NDSN,Nordson Corporation,Industrials,72331
NEE,NextEra Energy,Utilities,753308
NEM,Newmont,Materials,1164727
NFLX,Netflix,Communication Services,1065280
NI,NiSource,Utilities,1111711
NKE,"Nike, Inc.",Consumer Discretionary,320187
NOC,Northrop Grumman,Industrials,1133421
NOW,ServiceNow,Information Technology,1373715
NRG,NRG Energy,Utilities,1013871
NSC,Norfolk Southern,Industrials,702165
NTAP,NetApp,Information Technology,1002047
NTRS,Northern Trust,Financials,73124
NUE,Nucor,Materials,73309
NVDA,Nvidia,Information Technology,1045810
NVR,"NVR, Inc.",Consumer Discretionary,906163
NWS,News Corp (Class B),Communication Services,1564708
NWSA,News Corp (Class A),Communication Services,1564708
NXPI,NXP Semiconductors,Information Technology,1413447
O,Realty Income,Real Estate,726728
ODFL,Old Dominion,Industrials,878927
OKE,Oneok,Energy,1039684
OMC,Omnicom Group,Communication Services,29989
ON,ON Semiconductor,Information Technology,1097864
ORCL,Oracle Corporation,Information Technology,1341439
ORLY,O’Reilly Automotive,Consumer Discretionary,898173
OTIS,Otis Worldwide,Industrials,1781335
OXY,Occidental Petroleum,Energy,797468
PANW,Palo Alto Networks,Information Technology,1327567
PAYX,Paychex,Industrials,723531
PCAR,Paccar,Industrials,75362
PCG,PG&E Corporation,Utilities,1004980
PEG,Public Service Enterprise Group,Utilities,788784
PEP,PepsiCo,Consumer Staples,77476
PFE,Pfizer,Health Care,78003
PFG,Principal Financial Group,Financials,1126328
PG,Procter & Gamble,Consumer Staples,80424
PGR,Progressive Corporation,Financials,80661
PH,Parker Hannifin,Industrials,76334
PHM,PulteGroup,Consumer Discretionary,822416
PKG,Packaging Corporation of America,Materials,75677
PLD,Prologis,Real Estate,1045609
PLTR,Palantir Technologies,Information Technology,1321655
PM,Philip Morris International,Consumer Staples,1413329
PNC,PNC Financial Services,Financials,713676
PNR,Pentair,Industrials,77360
PNW,Pinnacle West Capital,Utilities,764622
PODD,Insulet Corporation,Health Care,1145197
POOL,Pool Corporation,Consumer Discretionary,945841
PPG,PPG Industries,Materials,79879
PPL,PPL Corporation,Utilities,922224
PRU,Prudential Financial,Financials,1137774
PSA,Public Storage,Real Estate,1393311
PSKY,Paramount Skydance Corporation,Communication Services,2041610
PSX,Phillips 66,Energy,1534701
PTC,PTC Inc.,Information Technology,857005
PWR,Quanta Services,Industrials,1050915
PYPL,PayPal,Financials,1633917
Q,Qnity Electronics,Information Technology,2058873
QCOM,Qualcomm,Information Technology,804328
RCL,Royal Caribbean Group,Consumer Discretionary,884887
REG,Regency Centers,Real Estate,910606
REGN,Regeneron Pharmaceuticals,Health Care,872589
RF,Regions Financial Corporation,Financials,1281761
RJF,Raymond James Financial,Financials,720005
RL,Ralph Lauren Corporation,Consumer Discretionary,1037038
RMD,ResMed,Health Care,943819
ROK,Rockwell Automation,Industrials,1024478
ROL,"Rollins, Inc.",Industrials,84839
ROP,Roper Technologies,Information Technology,882835
ROST,Ross Stores,Consumer Discretionary,745732
RSG,Republic Services,Industrials,1060391
RTX,RTX Corporation,Industrials,101829
RVTY,Revvity,Health Care,31791
SATS,EchoStar,Communication Services,1415404
SBAC,SBA Communications,Real Estate,1034054
SBUX,Starbucks,Consumer Discretionary,829224
SCHW,Charles Schwab Corporation,Financials,316709
SHW,Sherwin-Williams,Materials,89800
SJM,J.M. Smucker Company (The),Consumer Staples,91419
SLB,Schlumberger,Energy,87347
SMCI,Supermicro,Information Technology,1375365
SNA,Snap-on,Industrials,91440
SNDK,Sandisk,Information Technology,2023554
SNPS,Synopsys,Information Technology,883241
SO,Southern Company,Utilities,92122
SOLV,Solventum,Health Care,1964738
SPG,Simon Property Group,Real Estate,1063761
SPGI,S&P Global,Financials,64040
SRE,Sempra,Utilities,1032208
STE,Steris,Health Care,1757898
STLD,Steel Dynamics,Materials,1022671
STT,State Street Corporation,Financials,93751
STX,Seagate Technology,Information Technology,1137789
STZ,Constellation Brands,Consumer Staples,16918
SW,Smurfit Westrock,Materials,2005951
SWK,Stanley Black & Decker,Industrials,93556
SWKS,Skyworks Solutions,Information Technology,4127
SYF,Synchrony Financial,Financials,1601712
SYK,Stryker Corporation,Health Care,310764
SYY,Sysco,Consumer Staples,96021
T,AT&T,Communication Services,732717
TAP,Molson Coors Beverage Company,Consumer Staples,24545
TDG,TransDigm Group,Industrials,1260221
TDY,Teledyne Technologies,Information Technology,1094285
TECH,Bio-Techne,Health Care,842023
TEL,TE Connectivity,Information Technology,1385157
TER,Teradyne,Information Technology,97210
TFC,Truist Financial,Financials,92230
TGT,Target Corporation,Consumer Staples,27419
TJX,TJX Companies,Consumer Discretionary,109198
TKO,TKO Group Holdings,Communication Services,1973266
TMO,Thermo Fisher Scientific,Health Care,97745
TMUS,T-Mobile US,Communication Services,1283699
TPL,Texas Pacific Land Corporation,Energy,1811074
TPR,"Tapestry, Inc.",Consumer Discretionary,1116132
TRGP,Targa Resources,Energy,1389170
TRMB,Trimble Inc.,Information Technology,864749
TROW,T. Rowe Price,Financials,1113169
TRV,Travelers Companies (The),Financials,86312
TSCO,Tractor Supply,Consumer Discretionary,916365
TSLA,"Tesla, Inc.",Consumer Discretionary,1318605
TSN,Tyson Foods,Consumer Staples,100493
TT,Trane Technologies,Industrials,1466258
TTD,Trade Desk (The),Communication Services,1671933
TTWO,Take-Two Interactive,Communication Services,946581
TXN,Texas Instruments,Information Technology,97476
TXT,Textron,Industrials,217346
TYL,Tyler Technologies,Information Technology,860731
UAL,United Airlines Holdings,Industrials,100517
UBER,Uber,Industrials,1543151
UDR,"UDR, Inc.",Real Estate,74208
UHS,Universal Health Services,Health Care,352915
ULTA,Ulta Beauty,Consumer Discretionary,1403568
UNH,UnitedHealth Group,Health Care,731766
UNP,Union Pacific Corporation,Industrials,100885
UPS,United Parcel Service,Industrials,1090727
URI,United Rentals,Industrials,1067701
USB,U.S. Bancorp,Financials,36104
V,Visa Inc.,Financials,1403161
VEEV,Veeva Systems,Health Care,1393052
VICI,Vici Properties,Real Estate,1705696
VLO,Valero Energy,Energy,1035002
VLTO,Veralto,Industrials,1967680
VMC,Vulcan Materials Company,Materials,1396009
VRSK,Verisk Analytics,Industrials,1442145
VRSN,Verisign,Information Technology,1014473
VRT,Vertiv,Industrials,1674101
VRTX,Vertex Pharmaceuticals,Health Care,875320
VST,Vistra Corp.,Utilities,1692819
VTR,Ventas,Real Estate,740260
VTRS,Viatris,Health Care,1792044
VZ,Verizon,Communication Services,732712
WAB,Wabtec,Industrials,943452
WAT,Waters Corporation,Health Care,1000697
WBD,Warner Bros. Discovery,Communication Services,1437107
WDAY,"Workday, Inc.",Information Technology,1327811
WDC,Western Digital,Information Technology,106040
WEC,WEC Energy Group,Utilities,783325
WELL,Welltower,Real Estate,766704
WFC,Wells Fargo,Financials,72971
WM,Waste Management,Industrials,823768
WMB,Williams Companies,Energy,107263
WMT,Walmart,Consumer Staples,104169
WRB,W. R. Berkley Corporation,Financials,11544
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,719955
WST,West Pharmaceutical Services,Health Care,105770
WTW,Willis Towers Watson,Financials,1140536
WY,Weyerhaeuser,Real Estate,106535
WYNN,Wynn Resorts,Consumer Discretionary,1174922
XEL,Xcel Energy,Utilities,72903
XOM,ExxonMobil,Energy,34088
XYL,Xylem Inc.,Industrials,1524472
XYZ,"Block, Inc.",Financials,1512673
YUM,Yum! Brands,Consumer Discretionary,1041061
ZBH,Zimmer Biomet,Health Care,1136869
ZBRA,Zebra Technologies,Information Technology,877212
ZTS,Zoetis,Health Care,1555280
